age,taille,Habitat,sexe,stade_evolution
6,7,Plaine,male,1
4,7,Marecage,male,1
6,8,Montagne,male,1
16,24,Foret,male,2
22,26,Foret,femelle,3
29,35,Montagne,male,2
21,31,Foret,male,2
10,17,Montagne,male,1
22,43,Montagne,femelle,3
3,3,Desert,male,0
26,41,Marecage,male,2
8,12,Montagne,male,1
22,40,Marecage,male,2
27,50,Montagne,male,2
29,53,Montagne,male,3
8,10,Marecage,femelle,1
19,31,Grotte,femelle,2
5,8,Desert,male,0
26,37,Grotte,femelle,2
18,24,Marecage,femelle,2
24,26,Grotte,male,2
27,47,Plaine,femelle,3
25,47,Marecage,male,2
3,3,Marecage,male,1
23,26,Montagne,male,2
2,2,Montagne,male,1
23,38,Montagne,femelle,3
5,8,Grotte,male,1
13,20,Desert,male,1
14,25,Foret,femelle,2
23,32,Marecage,male,2
16,22,Plaine,femelle,2
18,26,Marecage,femelle,2
4,5,Desert,femelle,1
24,24,Foret,femelle,3
5,8,Plaine,male,1
26,27,Grotte,male,2
23,27,Montagne,male,2
28,28,Plaine,male,2
5,7,Foret,male,1
25,48,Marecage,male,2
8,11,Plaine,male,1
9,17,Foret,femelle,2
30,50,Grotte,femelle,3
10,18,Marecage,femelle,2
2,3,Marecage,male,1
18,29,Desert,femelle,2
19,37,Plaine,femelle,3
20,31,Grotte,femelle,2
23,33,Marecage,male,2
9,13,Foret,femelle,2
1,1,Foret,male,1
26,38,Desert,femelle,2
30,56,Plaine,femelle,3
17,22,Montagne,male,2
1,1,Foret,male,1
28,31,Grotte,male,2
27,37,Marecage,femelle,3
14,18,Plaine,male,2
3,3,Grotte,male,0
25,48,Marecage,femelle,3
4,6,Plaine,male,1
11,11,Plaine,male,2
7,9,Marecage,femelle,1
4,4,Grotte,femelle,1
5,6,Desert,femelle,1
6,11,Desert,femelle,1
15,19,Plaine,male,2
30,50,Plaine,femelle,3
20,38,Grotte,femelle,2
29,55,Grotte,male,2
12,18,Plaine,male,2
4,4,Montagne,femelle,1
11,12,Desert,femelle,1
9,15,Grotte,femelle,1
30,45,Plaine,femelle,3
7,12,Grotte,male,1
2,3,Grotte,male,0
29,54,Marecage,male,2
29,54,Foret,femelle,3
25,37,Montagne,femelle,3
19,35,Marecage,male,2
20,24,Montagne,femelle,2
20,23,Desert,femelle,2
28,52,Marecage,femelle,3
22,30,Desert,male,1
24,32,Desert,male,2
19,27,Foret,femelle,2
14,25,Marecage,male,1
22,30,Desert,male,1
20,22,Plaine,femelle,3
28,51,Grotte,femelle,3
4,7,Plaine,male,1
13,25,Desert,male,1
2,2,Marecage,femelle,1
21,41,Desert,male,2
4,5,Desert,male,0
28,39,Desert,femelle,2
19,34,Foret,femelle,3
22,27,Desert,male,1
3,4,Marecage,male,1
9,11,Plaine,femelle,2
28,39,Marecage,femelle,3
13,19,Plaine,femelle,2
3,4,Montagne,femelle,1
15,28,Montagne,male,2
10,18,Desert,femelle,1
28,52,Montagne,male,2
12,15,Montagne,male,1
10,15,Desert,femelle,1
24,26,Plaine,femelle,3
28,39,Plaine,femelle,3
4,7,Marecage,femelle,1
26,32,Foret,femelle,3
18,31,Marecage,male,2
21,38,Montagne,femelle,3
20,31,Plaine,femelle,3
28,42,Plaine,male,3
24,24,Grotte,femelle,2
27,38,Plaine,femelle,3
19,26,Desert,male,1
10,19,Desert,femelle,1
3,3,Foret,femelle,1
19,36,Foret,male,2
29,47,Foret,femelle,3
28,42,Plaine,femelle,3
22,40,Desert,male,2
19,19,Desert,male,1
10,19,Foret,male,1
29,50,Desert,femelle,2
6,11,Montagne,femelle,2
25,31,Foret,male,2
30,53,Plaine,femelle,3
4,7,Grotte,femelle,1
24,29,Grotte,femelle,2
17,22,Marecage,male,1
23,29,Desert,femelle,2
17,21,Desert,male,1
2,3,Montagne,male,1
7,11,Montagne,femelle,2
2,2,Montagne,male,1
20,32,Foret,femelle,3
25,38,Grotte,femelle,2
14,21,Marecage,male,1
9,14,Foret,femelle,2
10,12,Grotte,male,1
3,4,Grotte,femelle,1
29,37,Desert,male,2
26,28,Montagne,femelle,3
25,38,Grotte,male,2
26,27,Plaine,male,2
17,25,Desert,male,1
13,22,Montagne,male,1
22,41,Montagne,femelle,3
16,17,Grotte,femelle,2
9,9,Foret,male,1
17,32,Grotte,femelle,2
17,30,Desert,femelle,2
9,15,Foret,femelle,2
11,18,Foret,femelle,2
26,45,Marecage,femelle,3
24,28,Marecage,femelle,2
14,27,Desert,femelle,2
19,35,Marecage,femelle,2
12,19,Plaine,femelle,2
30,35,Grotte,femelle,2
12,19,Plaine,male,2
25,48,Foret,male,2
17,30,Plaine,male,2
25,28,Plaine,femelle,3
8,12,Grotte,femelle,1
12,12,Foret,femelle,2
6,10,Plaine,male,1
6,11,Montagne,male,1
7,7,Plaine,male,1
25,37,Desert,male,2
6,8,Desert,male,1
13,16,Desert,male,1
12,13,Foret,male,1
5,7,Marecage,femelle,1
8,12,Desert,femelle,1
25,32,Marecage,male,2
15,22,Desert,male,1
30,47,Montagne,femelle,3
1,1,Plaine,male,1
30,42,Grotte,femelle,3
17,27,Montagne,femelle,2
8,13,Marecage,male,1
3,3,Grotte,femelle,1
1,1,Desert,male,0
9,16,Plaine,femelle,2
19,32,Foret,male,2
7,13,Montagne,femelle,2
12,15,Foret,male,1
11,19,Foret,femelle,2
8,10,Desert,femelle,1
27,45,Montagne,male,2
2,3,Desert,femelle,1
27,50,Montagne,male,2
2,2,Foret,male,1
11,18,Foret,male,2
6,6,Plaine,femelle,2
12,16,Montagne,femelle,2
1,1,Desert,femelle,1
25,38,Grotte,male,2
29,53,Foret,male,3
13,19,Marecage,femelle,2
1,1,Desert,male,0
18,24,Desert,femelle,2
17,21,Grotte,male,1
4,7,Plaine,femelle,2
25,39,Grotte,male,2
21,22,Plaine,femelle,3
16,28,Marecage,male,2
9,15,Marecage,femelle,2
9,12,Foret,male,1
17,20,Plaine,femelle,2
7,9,Marecage,male,1
3,3,Montagne,male,1
16,30,Plaine,male,2
9,15,Marecage,femelle,2
3,4,Grotte,male,1
20,26,Plaine,femelle,3
7,12,Foret,male,1
4,5,Foret,male,1
23,26,Grotte,male,2
12,16,Desert,male,1
16,27,Marecage,femelle,2
15,20,Grotte,male,1
18,23,Grotte,male,1
26,43,Grotte,male,2
13,20,Grotte,femelle,2
29,50,Desert,femelle,2
5,7,Montagne,male,1
7,8,Plaine,male,1
11,17,Marecage,male,1
26,28,Montagne,male,2
28,53,Foret,femelle,3
9,11,Plaine,male,1
22,29,Marecage,male,2
2,3,Montagne,male,1
16,30,Grotte,male,1
29,45,Plaine,femelle,3
30,32,Desert,femelle,2
21,26,Plaine,male,2
14,27,Foret,femelle,2
27,50,Grotte,femelle,3
13,14,Grotte,femelle,2
6,9,Foret,femelle,2
29,29,Grotte,male,2
22,38,Marecage,male,2
28,37,Marecage,male,2
8,10,Montagne,male,1
9,10,Montagne,male,1
27,52,Grotte,femelle,3
3,5,Foret,male,1
13,13,Montagne,male,1
6,8,Desert,femelle,1
7,11,Montagne,male,1
24,42,Plaine,male,3
18,21,Plaine,male,2
23,37,Foret,male,2
21,33,Marecage,femelle,2
11,15,Plaine,femelle,2
4,7,Plaine,femelle,2
13,17,Marecage,femelle,2
20,39,Montagne,male,2
3,3,Grotte,male,0
13,15,Desert,femelle,1
12,19,Plaine,male,2
5,6,Plaine,male,1
4,5,Montagne,femelle,1
30,40,Montagne,male,2
26,32,Montagne,male,2
21,25,Marecage,male,2
21,35,Plaine,male,2
4,7,Plaine,femelle,2
22,32,Plaine,femelle,3
25,44,Desert,femelle,2
26,34,Grotte,male,2
11,20,Desert,male,1
2,3,Plaine,femelle,2
11,14,Plaine,male,2
10,15,Grotte,male,1
14,23,Marecage,femelle,2
7,11,Montagne,femelle,2
3,4,Grotte,femelle,1
11,18,Marecage,femelle,2
29,30,Marecage,male,2
1,1,Montagne,femelle,1
19,35,Desert,femelle,2
19,28,Foret,femelle,2
14,19,Plaine,femelle,2
19,19,Desert,femelle,2
2,2,Plaine,femelle,2
18,33,Grotte,femelle,2
5,8,Desert,femelle,1
24,41,Plaine,male,2
2,2,Plaine,femelle,2
18,28,Grotte,femelle,2
3,5,Montagne,male,1
30,33,Grotte,femelle,2
27,31,Desert,male,2
25,41,Foret,male,2
5,5,Plaine,femelle,2
22,31,Desert,male,1
15,18,Desert,femelle,1
1,1,Desert,femelle,1
4,6,Desert,femelle,1
26,47,Foret,male,2
24,44,Montagne,femelle,3
16,30,Marecage,male,2
13,20,Montagne,male,1
13,13,Desert,male,1
8,13,Foret,male,1
18,28,Grotte,femelle,2
25,29,Marecage,femelle,2
11,13,Foret,male,1
7,8,Foret,femelle,2
24,44,Montagne,femelle,3
12,12,Desert,male,1
6,7,Desert,femelle,1
22,25,Marecage,femelle,2
6,6,Plaine,male,1
21,39,Plaine,femelle,3
13,13,Montagne,male,1
14,25,Foret,male,2
8,15,Foret,male,1
17,22,Marecage,male,1
27,34,Montagne,male,2
13,23,Desert,femelle,1
20,29,Marecage,male,2
26,38,Foret,femelle,3
14,17,Grotte,femelle,2
1,1,Marecage,femelle,1
1,1,Grotte,femelle,1
27,49,Grotte,male,2
26,51,Foret,femelle,3
11,21,Desert,male,1
28,39,Grotte,femelle,2
12,17,Grotte,male,1
12,22,Montagne,male,1
4,4,Montagne,male,1
7,9,Marecage,femelle,1
26,50,Grotte,male,2
20,26,Desert,male,1
11,15,Plaine,femelle,2
4,6,Plaine,femelle,2
6,9,Montagne,femelle,2
12,21,Grotte,femelle,2
17,20,Marecage,male,1
24,41,Desert,femelle,2
8,15,Grotte,femelle,1
1,1,Desert,femelle,1
2,3,Marecage,femelle,1
29,30,Montagne,femelle,3
24,40,Marecage,male,2
5,9,Grotte,male,1
17,26,Desert,male,1
15,26,Montagne,femelle,2
8,11,Montagne,femelle,2
1,1,Foret,male,1
30,40,Plaine,femelle,3
25,46,Montagne,femelle,3
1,1,Desert,femelle,1
6,6,Desert,male,0
11,13,Montagne,femelle,2
9,17,Montagne,male,1
21,25,Marecage,male,2
19,24,Montagne,femelle,2
23,27,Desert,femelle,2
29,50,Montagne,femelle,3
23,41,Desert,male,2
6,10,Montagne,male,1
1,1,Desert,femelle,1
7,11,Foret,femelle,2
12,21,Grotte,femelle,2
24,36,Desert,femelle,2
2,2,Foret,male,1
29,36,Marecage,male,2
3,3,Plaine,male,1
14,27,Marecage,male,1
8,8,Foret,femelle,2
16,31,Marecage,male,2
20,23,Grotte,male,1
3,5,Plaine,femelle,2
19,25,Desert,male,1
12,15,Grotte,femelle,1
21,22,Marecage,femelle,2
29,53,Grotte,femelle,3
30,53,Foret,male,3
23,42,Foret,femelle,3
20,20,Montagne,male,2
21,23,Grotte,male,1
17,28,Foret,femelle,2
22,32,Montagne,femelle,2
30,47,Montagne,male,2
22,38,Marecage,male,2
11,20,Montagne,male,1
23,23,Montagne,male,2
14,23,Montagne,femelle,2
28,32,Grotte,femelle,2
16,23,Foret,femelle,2
14,19,Plaine,male,2
6,6,Grotte,femelle,1
13,16,Montagne,femelle,2
17,22,Foret,femelle,2
15,27,Grotte,femelle,2
8,14,Montagne,femelle,2
8,10,Marecage,femelle,1
11,19,Foret,male,2
21,26,Foret,femelle,2
4,7,Montagne,femelle,1
18,21,Montagne,femelle,2
14,14,Grotte,male,1
5,8,Desert,male,0
23,43,Foret,male,2
12,12,Montagne,male,1
25,47,Desert,male,2
27,37,Montagne,male,2
13,17,Desert,male,1
16,26,Plaine,femelle,2
9,12,Desert,male,1
12,15,Foret,male,1
2,3,Grotte,male,0
28,36,Desert,femelle,2
15,19,Foret,femelle,2
22,41,Desert,male,2
25,48,Marecage,femelle,3
10,15,Plaine,femelle,2
9,12,Desert,femelle,1
20,22,Plaine,male,2
30,34,Desert,male,2
10,19,Montagne,femelle,2
30,31,Foret,male,2
19,36,Desert,femelle,2
14,16,Desert,femelle,1
1,1,Foret,femelle,1
25,37,Plaine,male,2
18,31,Desert,male,1
8,13,Plaine,male,1
27,37,Marecage,femelle,3
12,12,Marecage,male,1
8,14,Plaine,femelle,2
20,24,Plaine,male,2
21,25,Marecage,femelle,2
27,39,Montagne,male,2
2,3,Marecage,femelle,1
24,26,Foret,male,2
20,30,Montagne,male,2
6,10,Marecage,femelle,1
27,27,Grotte,male,2
7,7,Marecage,femelle,1
21,26,Foret,male,2
25,46,Grotte,male,2
6,6,Foret,femelle,2
16,21,Marecage,male,1
4,5,Marecage,femelle,1
27,31,Foret,male,2
29,38,Plaine,femelle,3
24,28,Grotte,femelle,2
24,27,Marecage,femelle,2
18,23,Montagne,male,2
12,21,Desert,male,1
25,42,Montagne,male,2
5,7,Grotte,male,1
1,1,Foret,male,1
18,27,Grotte,femelle,2
12,14,Foret,femelle,2
12,23,Grotte,male,1
22,33,Montagne,male,2
10,16,Montagne,femelle,2
25,37,Marecage,femelle,2
21,24,Marecage,femelle,2
3,5,Grotte,femelle,1
1,1,Marecage,femelle,1
4,6,Desert,femelle,1
23,32,Foret,femelle,3
13,23,Plaine,male,2
24,41,Marecage,male,2
21,23,Marecage,femelle,2
16,28,Marecage,femelle,2
12,18,Grotte,male,1
20,30,Desert,male,1
1,1,Montagne,femelle,1
26,32,Grotte,femelle,2
6,10,Montagne,male,1
2,2,Plaine,femelle,2
9,12,Marecage,male,1
9,14,Marecage,femelle,2
15,15,Desert,femelle,1
24,43,Marecage,male,2
3,3,Montagne,male,1
7,7,Marecage,femelle,1
19,35,Desert,male,1
24,39,Desert,male,2
5,5,Marecage,male,1
12,16,Desert,femelle,1
15,21,Desert,male,1
14,22,Marecage,male,1
14,14,Grotte,femelle,2
20,27,Montagne,male,2
1,1,Grotte,femelle,1
5,9,Marecage,femelle,1
28,33,Plaine,male,2
19,19,Foret,femelle,2
14,23,Montagne,male,2
14,19,Foret,femelle,2
13,22,Montagne,femelle,2
15,24,Foret,male,2
15,25,Montagne,male,2
27,44,Desert,male,2
3,4,Grotte,male,1
13,20,Marecage,male,1
5,8,Desert,male,0
22,37,Plaine,male,2
3,5,Grotte,femelle,1
11,18,Plaine,male,2
19,22,Plaine,male,2
27,38,Montagne,male,2
24,24,Foret,male,2
17,17,Plaine,male,2
30,46,Grotte,male,2
5,6,Plaine,femelle,2
23,39,Marecage,male,2
26,43,Grotte,femelle,2
5,6,Desert,male,0
13,23,Montagne,femelle,2
12,14,Plaine,male,2
29,52,Foret,femelle,3
2,2,Montagne,male,1
21,32,Grotte,femelle,2
17,24,Grotte,femelle,2
18,33,Desert,male,1
18,28,Marecage,male,2
30,51,Marecage,male,2
15,21,Marecage,male,1
19,36,Montagne,male,2
11,13,Foret,femelle,2
18,23,Montagne,femelle,2
16,27,Desert,femelle,2
2,3,Grotte,femelle,1
29,33,Plaine,femelle,3
27,38,Desert,male,2
7,11,Marecage,male,1
18,25,Grotte,femelle,2
7,8,Grotte,femelle,1
7,7,Desert,femelle,1
30,43,Foret,male,3
20,32,Marecage,male,2
15,19,Plaine,femelle,2
30,55,Montagne,male,3
29,37,Grotte,femelle,2
28,48,Montagne,male,2
17,18,Plaine,femelle,2
16,25,Desert,femelle,2
2,3,Foret,femelle,1
18,23,Marecage,male,1
26,50,Desert,male,2
7,7,Marecage,femelle,1
30,53,Foret,femelle,3
28,51,Plaine,femelle,3
25,45,Foret,femelle,3
20,35,Foret,femelle,3
11,21,Montagne,male,1
28,44,Montagne,male,2
25,48,Grotte,femelle,2
13,20,Plaine,male,2
17,20,Marecage,male,1
20,28,Montagne,male,2
10,14,Plaine,male,2
18,19,Plaine,femelle,2
10,10,Plaine,male,2
4,7,Marecage,male,1
18,34,Grotte,femelle,2
30,46,Grotte,femelle,3
19,23,Plaine,male,2
25,39,Montagne,femelle,3
17,23,Grotte,femelle,2
13,23,Plaine,femelle,2
3,3,Foret,male,1
29,57,Marecage,male,2
6,10,Montagne,male,1
27,30,Marecage,male,2
25,30,Grotte,femelle,2
18,20,Foret,femelle,2
14,22,Plaine,femelle,2
15,22,Marecage,male,1
10,10,Foret,femelle,2
30,43,Montagne,femelle,3
7,10,Plaine,femelle,2
15,15,Plaine,male,2
28,49,Marecage,femelle,3
4,7,Plaine,male,1
5,5,Grotte,femelle,1
27,35,Marecage,male,2
12,20,Montagne,male,1
4,5,Montagne,femelle,1
22,35,Plaine,femelle,3
15,20,Marecage,male,1
29,47,Desert,femelle,2
4,6,Desert,femelle,1
20,24,Foret,male,2
16,30,Plaine,male,2
21,26,Marecage,male,2
21,30,Foret,femelle,3
20,35,Foret,femelle,3
24,40,Marecage,femelle,2
16,25,Montagne,male,2
24,38,Marecage,male,2
4,7,Desert,femelle,1
29,44,Montagne,femelle,3
7,10,Marecage,femelle,1
19,29,Desert,femelle,2
6,6,Foret,male,1
29,32,Desert,femelle,2
3,5,Plaine,femelle,2
16,24,Desert,male,1
10,19,Desert,femelle,1
16,25,Desert,male,1
15,22,Desert,femelle,2
8,14,Marecage,femelle,2
13,23,Plaine,femelle,2
27,39,Grotte,male,2
1,1,Marecage,femelle,1
16,29,Montagne,male,2
29,52,Foret,femelle,3
27,28,Desert,male,2
17,30,Montagne,male,2
7,12,Montagne,femelle,2
27,45,Desert,male,2
10,10,Plaine,male,2
12,16,Grotte,femelle,2
11,21,Grotte,male,1
6,10,Montagne,femelle,2
28,32,Marecage,femelle,2
24,35,Desert,male,2
19,35,Foret,male,2
17,31,Marecage,male,2
2,2,Marecage,male,1
13,16,Montagne,male,1
25,36,Foret,femelle,3
14,27,Marecage,femelle,2
1,1,Desert,femelle,1
26,50,Plaine,femelle,3
25,36,Grotte,femelle,2
15,21,Grotte,male,1
3,4,Foret,femelle,2
20,28,Plaine,male,2
19,19,Plaine,male,2
14,20,Desert,male,1
14,21,Foret,femelle,2
30,54,Desert,femelle,3
14,22,Marecage,femelle,2
5,6,Desert,femelle,1
8,13,Grotte,femelle,1
15,18,Desert,femelle,1
24,36,Desert,male,2
25,35,Plaine,male,2
19,34,Montagne,male,2
6,10,Desert,femelle,1
26,46,Plaine,femelle,3
30,37,Plaine,femelle,3
23,28,Montagne,male,2
1,1,Montagne,femelle,1
27,51,Desert,male,2
19,31,Desert,femelle,2
14,24,Marecage,femelle,2
8,10,Montagne,male,1
6,9,Montagne,femelle,2
5,6,Desert,male,0
25,35,Grotte,male,2
20,25,Plaine,femelle,3
29,57,Marecage,male,2
26,30,Grotte,male,2
26,46,Montagne,male,2
24,46,Foret,male,2
24,27,Marecage,male,2
2,3,Plaine,male,1
6,10,Grotte,femelle,1
18,21,Grotte,femelle,2
10,15,Grotte,femelle,1
23,29,Plaine,male,2
16,25,Plaine,femelle,2
27,53,Montagne,femelle,3
28,29,Grotte,male,2
22,43,Montagne,femelle,3
21,35,Montagne,male,2
4,5,Grotte,femelle,1
22,41,Marecage,femelle,2
12,17,Desert,femelle,1
27,42,Grotte,male,2
15,24,Grotte,femelle,2
2,3,Montagne,male,1
20,24,Plaine,male,2
23,42,Montagne,femelle,3
7,11,Desert,femelle,1
23,30,Foret,male,2
24,42,Foret,male,2
1,1,Montagne,femelle,1
17,25,Montagne,femelle,2
7,11,Desert,male,1
2,3,Desert,femelle,1
26,28,Desert,male,2
10,13,Plaine,femelle,2
28,42,Marecage,femelle,3
1,1,Desert,femelle,1
28,32,Plaine,femelle,3
13,13,Plaine,femelle,2
10,14,Foret,male,1
13,13,Foret,femelle,2
25,31,Grotte,male,2
9,10,Plaine,femelle,2
21,32,Foret,male,2
17,30,Grotte,male,1
27,43,Desert,femelle,2
12,16,Plaine,femelle,2
16,20,Foret,male,2
3,4,Foret,male,1
25,33,Desert,femelle,2
15,18,Plaine,male,2
18,27,Grotte,femelle,2
6,6,Montagne,male,1
4,6,Plaine,male,1
1,1,Foret,male,1
27,53,Montagne,male,2
30,46,Desert,male,2
4,4,Foret,male,1
8,11,Marecage,femelle,1
19,21,Marecage,male,1
29,52,Grotte,male,2
23,26,Plaine,male,2
12,13,Grotte,femelle,1
19,36,Desert,femelle,2
15,24,Foret,femelle,2
30,43,Montagne,femelle,3
29,48,Marecage,femelle,3
10,14,Foret,femelle,2
5,7,Foret,male,1
28,30,Foret,femelle,3
23,35,Foret,male,2
23,26,Grotte,femelle,2
10,11,Plaine,male,2
22,25,Desert,femelle,2
27,40,Grotte,male,2
9,10,Grotte,male,1
19,24,Plaine,male,2
18,21,Foret,male,2
5,5,Plaine,male,1
2,2,Montagne,femelle,1
17,21,Marecage,femelle,2
26,31,Foret,femelle,3
27,36,Grotte,male,2
14,22,Plaine,femelle,2
13,18,Foret,femelle,2
26,28,Grotte,male,2
6,10,Desert,male,1
7,11,Grotte,femelle,1
29,37,Grotte,femelle,2
9,15,Montagne,male,1
22,43,Montagne,male,2
4,4,Plaine,male,1
23,35,Plaine,femelle,3
1,1,Desert,male,0
19,32,Montagne,femelle,2
15,24,Montagne,femelle,2
5,5,Desert,male,0
16,31,Foret,male,2
22,34,Desert,femelle,2
19,26,Marecage,femelle,2
28,46,Plaine,femelle,3
11,13,Montagne,femelle,2
27,34,Marecage,male,2
15,19,Plaine,femelle,2
15,29,Grotte,male,1
7,7,Marecage,femelle,1
18,22,Grotte,femelle,2
9,9,Marecage,male,1
26,32,Grotte,femelle,2
21,30,Plaine,femelle,3
30,58,Montagne,male,3
5,6,Grotte,femelle,1
15,29,Plaine,male,2
9,17,Foret,femelle,2
13,18,Desert,femelle,1
13,13,Grotte,femelle,1
21,23,Plaine,male,2
7,10,Desert,male,1
27,35,Montagne,male,2
24,27,Montagne,femelle,2
23,39,Plaine,male,2
15,17,Desert,male,1
5,9,Grotte,male,1
18,23,Marecage,male,1
26,33,Marecage,femelle,2
30,56,Marecage,male,2
18,23,Marecage,male,1
1,1,Montagne,male,1
13,19,Marecage,femelle,2
1,1,Montagne,femelle,1
26,46,Marecage,male,2
28,49,Grotte,male,2
25,42,Marecage,male,2
30,38,Foret,male,2
5,6,Montagne,femelle,1
11,19,Marecage,femelle,2
4,6,Marecage,male,1
27,36,Plaine,male,3
8,12,Montagne,femelle,2
24,31,Foret,femelle,3
27,38,Marecage,male,2
10,17,Desert,male,1
7,13,Foret,femelle,2
1,1,Marecage,femelle,1
3,5,Grotte,male,1
13,25,Desert,male,1
30,35,Marecage,femelle,3
30,47,Plaine,femelle,3
17,33,Plaine,male,2
30,52,Grotte,femelle,3
11,12,Plaine,femelle,2
4,6,Marecage,male,1
22,33,Montagne,male,2
12,16,Montagne,femelle,2
20,24,Foret,male,2
24,43,Desert,femelle,2
3,5,Grotte,femelle,1
14,27,Plaine,femelle,2
27,36,Plaine,femelle,3
22,24,Montagne,femelle,2
11,18,Grotte,femelle,2
22,27,Foret,femelle,3
16,21,Montagne,femelle,2
6,9,Montagne,femelle,2
2,2,Desert,femelle,1
22,38,Plaine,male,2
27,41,Montagne,male,2
18,20,Marecage,femelle,2
24,40,Foret,male,2
7,9,Desert,male,1
15,20,Montagne,femelle,2
18,22,Desert,femelle,2
7,9,Plaine,male,1
25,41,Grotte,male,2
6,8,Plaine,male,1
5,7,Grotte,male,1
23,30,Montagne,femelle,2
29,41,Plaine,femelle,3
30,35,Grotte,male,2
23,33,Marecage,femelle,2
9,9,Montagne,femelle,2
30,58,Foret,male,3
12,12,Marecage,femelle,2
3,3,Marecage,male,1
23,24,Montagne,femelle,2
24,46,Marecage,male,2
22,31,Plaine,male,2
4,7,Foret,femelle,2
20,22,Foret,male,2
14,23,Montagne,male,2
30,57,Marecage,femelle,3
2,2,Montagne,femelle,1
10,19,Plaine,male,2
14,23,Montagne,male,2
29,39,Plaine,male,3
27,38,Desert,femelle,2
24,33,Foret,male,2
19,29,Desert,male,1
27,31,Plaine,male,2
21,33,Plaine,femelle,3
27,36,Plaine,male,3
18,19,Foret,femelle,2
13,17,Montagne,femelle,2
22,33,Foret,femelle,3
2,3,Plaine,femelle,2
14,16,Plaine,femelle,2
17,18,Marecage,male,1
8,11,Foret,femelle,2
2,3,Grotte,male,0
19,26,Montagne,femelle,2
7,7,Grotte,male,1
21,21,Foret,femelle,2
16,25,Marecage,male,1
4,5,Foret,male,1
18,33,Desert,male,1
20,38,Desert,femelle,2
29,36,Grotte,male,2
5,7,Montagne,femelle,1
19,28,Foret,male,2
23,43,Grotte,femelle,2
24,37,Plaine,femelle,3
4,6,Desert,male,0
27,41,Foret,male,2
10,14,Desert,femelle,1
13,14,Plaine,male,2
19,20,Desert,femelle,2
21,27,Foret,femelle,2
17,30,Marecage,male,2
4,7,Plaine,femelle,2
11,19,Foret,femelle,2
8,12,Montagne,femelle,2
22,40,Desert,male,2
10,15,Foret,femelle,2
22,43,Montagne,femelle,3
23,41,Marecage,femelle,2
23,38,Foret,male,2
16,18,Foret,femelle,2
26,32,Montagne,femelle,3
10,13,Montagne,male,1
26,33,Foret,male,2
9,16,Desert,femelle,1
12,19,Marecage,male,1
22,43,Plaine,male,2
21,27,Montagne,male,2
29,34,Grotte,male,2
30,35,Grotte,male,2
12,20,Marecage,male,1
27,32,Montagne,femelle,3
7,10,Plaine,femelle,2
23,38,Montagne,male,2
